Role,Department/Class,Name,Username/Email,Alternative ID,Password
Parent,1st B.Sc AI & ML (Ward: 26AIML029),Mr. Govindaraj,govindaraj.26aiml029@gmail.com,Parent-26AIML029,Parent@26AIML029
Student,1st B.Sc AI & ML,C. Janani,janani.26aiml030@college.edu,26AIML030,Pass@26AIML030
Parent,1st B.Sc AI & ML (Ward: 26AIML030),Mr. Jayakumar,jayakumar.26aiml030@gmail.com,Parent-26AIML030,Parent@26AIML030
Student,2nd B.Sc AI & ML,M. Sanjay,sanjay.25aiml001@college.edu,25AIML001,Pass@25AIML001
Parent,2nd B.Sc AI & ML (Ward: 25AIML001),Mr. Natarajan,natarajan.25aiml001@gmail.com,Parent-25AIML001,Parent@25AIML001
Student,2nd B.Sc AI & ML,R. Keerthana,keerthana.25aiml002@college.edu,25AIML002,Pass@25AIML002
Parent,2nd B.Sc AI & ML (Ward: 25AIML002),Mr. Velmurugan,velmurugan.25aiml002@gmail.com,Parent-25AIML002,Parent@25AIML002
Student,2nd B.Sc AI & ML,G. Harish Raghav,harish.25aiml003@college.edu,25AIML003,Pass@25AIML003
Parent,2nd B.Sc AI & ML (Ward: 25AIML003),Mr. Arumugam,arumugam.25aiml003@gmail.com,Parent-25AIML003,Parent@25AIML003
Student,2nd B.Sc AI & ML,T. Deepa Lakshmi,deepa.25aiml004@college.edu,25AIML004,Pass@25AIML004
Parent,2nd B.Sc AI & ML (Ward: 25AIML004),Mr. Krishnan,krishnan.25aiml004@gmail.com,Parent-25AIML004,Parent@25AIML004
Student,2nd B.Sc AI & ML,N. Manoj Kumar,manoj.25aiml005@college.edu,25AIML005,Pass@25AIML005
Parent,2nd B.Sc AI & ML (Ward: 25AIML005),Mr. Annamalai,annamalai.25aiml005@gmail.com,Parent-25AIML005,Parent@25AIML005
Student,2nd B.Sc AI & ML,B. Swetha,swetha.25aiml006@college.edu,25AIML006,Pass@25AIML006
Parent,2nd B.Sc AI & ML (Ward: 25AIML006),Mr. Selvam,selvam.25aiml006@gmail.com,Parent-25AIML006,Parent@25AIML006
Student,2nd B.Sc AI & ML,A. Naveen Prasath,naveen.25aiml007@college.edu,25AIML007,Pass@25AIML007
Parent,2nd B.Sc AI & ML (Ward: 25AIML007),Mr. Ramanathan,ramanathan.25aiml007@gmail.com,Parent-25AIML007,Parent@25AIML007
Student,2nd B.Sc AI & ML,V. Sneha,sneha.25aiml008@college.edu,25AIML008,Pass@25AIML008
Parent,2nd B.Sc AI & ML (Ward: 25AIML008),Mr. Muthukumar,muthukumar.25aiml008@gmail.com,Parent-25AIML008,Parent@25AIML008
Student,2nd B.Sc AI & ML,P. Gokulnath,gokulnath.25aiml009@college.edu,25AIML009,Pass@25AIML009
Parent,2nd B.Sc AI & ML (Ward: 25AIML009),Mr. Palanisamy,palanisamy.25aiml009@gmail.com,Parent-25AIML009,Parent@25AIML009
Student,2nd B.Sc AI & ML,J. Pavithra,pavithra.25aiml010@college.edu,25AIML010,Pass@25AIML010
Parent,2nd B.Sc AI & ML (Ward: 25AIML010),Mr. Chandran,chandran.25aiml010@gmail.com,Parent-25AIML010,Parent@25AIML010
Student,2nd B.Sc AI & ML,C. Karthikeyan,karthikeyan.25aiml011@college.edu,25AIML011,Pass@25AIML011
Parent,2nd B.Sc AI & ML (Ward: 25AIML011),Mr. Jayaraman,jayaraman.25aiml011@gmail.com,Parent-25AIML011,Parent@25AIML011
Student,2nd B.Sc AI & ML,E. Abinaya,abinaya.25aiml012@college.edu,25AIML012,Pass@25AIML012
Parent,2nd B.Sc AI & ML (Ward: 25AIML012),Mr. Durairaj,durairaj.25aiml012@gmail.com,Parent-25AIML012,Parent@25AIML012
Student,2nd B.Sc AI & ML,D. Vigneshwaran,vigneshwaran.25aiml013@college.edu,25AIML013,Pass@25AIML013
Parent,2nd B.Sc AI & ML (Ward: 25AIML013),Mr. Elango,elango.25aiml013@gmail.com,Parent-25AIML013,Parent@25AIML013
Student,2nd B.Sc AI & ML,L. Lavanya,lavanya.25aiml014@college.edu,25AIML014,Pass@25AIML014
Parent,2nd B.Sc AI & ML (Ward: 25AIML014),Mr. Loganathan,loganathan.25aiml014@gmail.com,Parent-25AIML014,Parent@25AIML014
Student,2nd B.Sc AI & ML,H. Ashwin Soundar,ashwin.25aiml015@college.edu,25AIML015,Pass@25AIML015
Parent,2nd B.Sc AI & ML (Ward: 25AIML015),Mr. Soundararajan,soundararajan.25aiml015@gmail.com,Parent-25AIML015,Parent@25AIML015
Student,2nd B.Sc AI & ML,Y. Harini,harini.25aiml016@college.edu,25AIML016,Pass@25AIML016
Parent,2nd B.Sc AI & ML (Ward: 25AIML016),Mr. Rajendran,rajendran.25aiml016@gmail.com,Parent-25AIML016,Parent@25AIML016
Student,2nd B.Sc AI & ML,K. Siddharth,siddharth.25aiml017@college.edu,25AIML017,Pass@25AIML017
Parent,2nd B.Sc AI & ML (Ward: 25AIML017),Mr. Kumaravel,kumaravel.25aiml017@gmail.com,Parent-25AIML017,Parent@25AIML017
Student,2nd B.Sc AI & ML,S. Gayathri,gayathri.25aiml018@college.edu,25AIML018,Pass@25AIML018
Parent,2nd B.Sc AI & ML (Ward: 25AIML018),Mr. Panneerselvam,panneerselvam.25aiml018@gmail.com,Parent-25AIML018,Parent@25AIML018
Student,2nd B.Sc AI & ML,M. Ragav,ragav.25aiml019@college.edu,25AIML019,Pass@25AIML019
Parent,2nd B.Sc AI & ML (Ward: 25AIML019),Mr. Vasudevan,vasudevan.25aiml019@gmail.com,Parent-25AIML019,Parent@25AIML019
Student,2nd B.Sc AI & ML,R. Sandhya,sandhya.25aiml020@college.edu,25AIML020,Pass@25AIML020
Parent,2nd B.Sc AI & ML (Ward: 25AIML020),Mr. Nagarajan,nagarajan.25aiml020@gmail.com,Parent-25AIML020,Parent@25AIML020
Student,2nd B.Sc AI & ML,G. Mukesh,mukesh.25aiml021@college.edu,25AIML021,Pass@25AIML021
Parent,2nd B.Sc AI & ML (Ward: 25AIML021),Mr. Thirumalai,thirumalai.25aiml021@gmail.com,Parent-25AIML021,Parent@25AIML021
Student,2nd B.Sc AI & ML,T. Yamuna,yamuna.25aiml022@college.edu,25AIML022,Pass@25AIML022
Parent,2nd B.Sc AI & ML (Ward: 25AIML022),Mr. Mohan,mohan.25aiml022@gmail.com,Parent-25AIML022,Parent@25AIML022
Student,2nd B.Sc AI & ML,N. Aravind,aravind.25aiml023@college.edu,25AIML023,Pass@25AIML023
Parent,2nd B.Sc AI & ML (Ward: 25AIML023),Mr. Govindaraj,govindaraj.25aiml023@gmail.com,Parent-25AIML023,Parent@25AIML023
Student,2nd B.Sc AI & ML,B. Janani,janani.25aiml024@college.edu,25AIML024,Pass@25AIML024
Parent,2nd B.Sc AI & ML (Ward: 25AIML024),Mr. Jayakumar,jayakumar.25aiml024@gmail.com,Parent-25AIML024,Parent@25AIML024
Student,2nd B.Sc AI & ML,A. Praveen,praveen.25aiml025@college.edu,25AIML025,Pass@25AIML025
Parent,2nd B.Sc AI & ML (Ward: 25AIML025),Mr. Palanivel,palanivel.25aiml025@gmail.com,Parent-25AIML025,Parent@25AIML025
Student,2nd B.Sc AI & ML,V. Ramya,ramya.25aiml026@college.edu,25AIML026,Pass@25AIML026
Parent,2nd B.Sc AI & ML (Ward: 25AIML026),Mr. Rajendran,rajendran.25aiml026@gmail.com,Parent-25AIML026,Parent@25AIML026
Student,2nd B.Sc AI & ML,P. Chandru,chandru.25aiml027@college.edu,25AIML027,Pass@25AIML027
Parent,2nd B.Sc AI & ML (Ward: 25AIML027),Mr. Chandrasekhar,chandrasekhar.25aiml027@gmail.com,Parent-25AIML027,Parent@25AIML027
Student,2nd B.Sc AI & ML,J. Kaviya,kaviya.25aiml028@college.edu,25AIML028,Pass@25AIML028
Parent,2nd B.Sc AI & ML (Ward: 25AIML028),Mr. Krishnan,krishnan.25aiml028@gmail.com,Parent-25AIML028,Parent@25AIML028
Student,2nd B.Sc AI & ML,C. Deepak,deepak.25aiml029@college.edu,25AIML029,Pass@25AIML029
Parent,2nd B.Sc AI & ML (Ward: 25AIML029),Mr. Devarajan,devarajan.25aiml029@gmail.com,Parent-25AIML029,Parent@25AIML029
Student,2nd B.Sc AI & ML,E. Vaishnavi,vaishnavi.25aiml030@college.edu,25AIML030,Pass@25AIML030
Parent,2nd B.Sc AI & ML (Ward: 25AIML030),Mr. Venkatesan,venkatesan.25aiml030@gmail.com,Parent-25AIML030,Parent@25AIML030
Student,3rd B.Sc AI & ML,R. Naveen Prasath,naveen.24aiml001@college.edu,24AIML001,Pass@24AIML001
Parent,3rd B.Sc AI & ML (Ward: 24AIML001),Mr. Ramanathan,ramanathan.24aiml001@gmail.com,Parent-24AIML001,Parent@24AIML001
Student,3rd B.Sc AI & ML,G. Sneha,sneha.24aiml002@college.edu,24AIML002,Pass@24AIML002
Parent,3rd B.Sc AI & ML (Ward: 24AIML002),Mr. Muthukumar,muthukumar.24aiml002@gmail.com,Parent-24AIML002,Parent@24AIML002
Student,3rd B.Sc AI & ML,T. Gokulnath,gokulnath.24aiml003@college.edu,24AIML003,Pass@24AIML003
Parent,3rd B.Sc AI & ML (Ward: 24AIML003),Mr. Palanisamy,palanisamy.24aiml003@gmail.com,Parent-24AIML003,Parent@24AIML003
Student,3rd B.Sc AI & ML,N. Pavithra,pavithra.24aiml004@college.edu,24AIML004,Pass@24AIML004
Parent,3rd B.Sc AI & ML (Ward: 24AIML004),Mr. Chandran,chandran.24aiml004@gmail.com,Parent-24AIML004,Parent@24AIML004
Student,3rd B.Sc AI & ML,B. Karthikeyan,karthikeyan.24aiml005@college.edu,24AIML005,Pass@24AIML005
Parent,3rd B.Sc AI & ML (Ward: 24AIML005),Mr. Jayaraman,jayaraman.24aiml005@gmail.com,Parent-24AIML005,Parent@24AIML005
Student,3rd B.Sc AI & ML,A. Abinaya,abinaya.24aiml006@college.edu,24AIML006,Pass@24AIML006
Parent,3rd B.Sc AI & ML (Ward: 24AIML006),Mr. Durairaj,durairaj.24aiml006@gmail.com,Parent-24AIML006,Parent@24AIML006
Student,3rd B.Sc AI & ML,V. Vigneshwaran,vigneshwaran.24aiml007@college.edu,24AIML007,Pass@24AIML007
Parent,3rd B.Sc AI & ML (Ward: 24AIML007),Mr. Elango,elango.24aiml007@gmail.com,Parent-24AIML007,Parent@24AIML007
Student,3rd B.Sc AI & ML,P. Lavanya,lavanya.24aiml008@college.edu,24AIML008,Pass@24AIML008
Parent,3rd B.Sc AI & ML (Ward: 24AIML008),Mr. Loganathan,loganathan.24aiml008@gmail.com,Parent-24AIML008,Parent@24AIML008
Student,3rd B.Sc AI & ML,J. Ashwin Soundar,ashwin.24aiml009@college.edu,24AIML009,Pass@24AIML009
Parent,3rd B.Sc AI & ML (Ward: 24AIML009),Mr. Soundararajan,soundararajan.24aiml009@gmail.com,Parent-24AIML009,Parent@24AIML009
Student,3rd B.Sc AI & ML,C. Harini,harini.24aiml010@college.edu,24AIML010,Pass@24AIML010
Parent,3rd B.Sc AI & ML (Ward: 24AIML010),Mr. Rajendran,rajendran.24aiml010@gmail.com,Parent-24AIML010,Parent@24AIML010
Student,3rd B.Sc AI & ML,E. Siddharth,siddharth.24aiml011@college.edu,24AIML011,Pass@24AIML011
Parent,3rd B.Sc AI & ML (Ward: 24AIML011),Mr. Kumaravel,kumaravel.24aiml011@gmail.com,Parent-24AIML011,Parent@24AIML011
Student,3rd B.Sc AI & ML,D. Gayathri,gayathri.24aiml012@college.edu,24AIML012,Pass@24AIML012
Parent,3rd B.Sc AI & ML (Ward: 24AIML012),Mr. Panneerselvam,panneerselvam.24aiml012@gmail.com,Parent-24AIML012,Parent@24AIML012
Student,3rd B.Sc AI & ML,L. Ragav,ragav.24aiml013@college.edu,24AIML013,Pass@24AIML013
Parent,3rd B.Sc AI & ML (Ward: 24AIML013),Mr. Vasudevan,vasudevan.24aiml013@gmail.com,Parent-24AIML013,Parent@24AIML013
Student,3rd B.Sc AI & ML,H. Sandhya,sandhya.24aiml014@college.edu,24AIML014,Pass@24AIML014
Parent,3rd B.Sc AI & ML (Ward: 24AIML014),Mr. Nagarajan,nagarajan.24aiml014@gmail.com,Parent-24AIML014,Parent@24AIML014
Student,3rd B.Sc AI & ML,Y. Mukesh,mukesh.24aiml015@college.edu,24AIML015,Pass@24AIML015
Parent,3rd B.Sc AI & ML (Ward: 24AIML015),Mr. Thirumalai,thirumalai.24aiml015@gmail.com,Parent-24AIML015,Parent@24AIML015
Student,3rd B.Sc AI & ML,K. Yamuna,yamuna.24aiml016@college.edu,24AIML016,Pass@24AIML016
Parent,3rd B.Sc AI & ML (Ward: 24AIML016),Mr. Mohan,mohan.24aiml016@gmail.com,Parent-24AIML016,Parent@24AIML016
Student,3rd B.Sc AI & ML,S. Aravind,aravind.24aiml017@college.edu,24AIML017,Pass@24AIML017
Parent,3rd B.Sc AI & ML (Ward: 24AIML017),Mr. Govindaraj,govindaraj.24aiml017@gmail.com,Parent-24AIML017,Parent@24AIML017
Student,3rd B.Sc AI & ML,M. Janani,janani.24aiml018@college.edu,24AIML018,Pass@24AIML018
Parent,3rd B.Sc AI & ML (Ward: 24AIML018),Mr. Jayakumar,jayakumar.24aiml018@gmail.com,Parent-24AIML018,Parent@24AIML018
Student,3rd B.Sc AI & ML,R. Praveen,praveen.24aiml019@college.edu,24AIML019,Pass@24AIML019
Parent,3rd B.Sc AI & ML (Ward: 24AIML019),Mr. Palanivel,palanivel.24aiml019@gmail.com,Parent-24AIML019,Parent@24AIML019
Student,3rd B.Sc AI & ML,G. Ramya,ramya.24aiml020@college.edu,24AIML020,Pass@24AIML020
Parent,3rd B.Sc AI & ML (Ward: 24AIML020),Mr. Rajendran,rajendran.24aiml020@gmail.com,Parent-24AIML020,Parent@24AIML020
Student,3rd B.Sc AI & ML,T. Chandru,chandru.24aiml021@college.edu,24AIML021,Pass@24AIML021
Parent,3rd B.Sc AI & ML (Ward: 24AIML021),Mr. Chandrasekhar,chandrasekhar.24aiml021@gmail.com,Parent-24AIML021,Parent@24AIML021
Student,3rd B.Sc AI & ML,N. Kaviya,kaviya.24aiml022@college.edu,24AIML022,Pass@24AIML022
Parent,3rd B.Sc AI & ML (Ward: 24AIML022),Mr. Krishnan,krishnan.24aiml022@gmail.com,Parent-24AIML022,Parent@24AIML022
Student,3rd B.Sc AI & ML,B. Deepak,deepak.24aiml023@college.edu,24AIML023,Pass@24AIML023
Parent,3rd B.Sc AI & ML (Ward: 24AIML023),Mr. Devarajan,devarajan.24aiml023@gmail.com,Parent-24AIML023,Parent@24AIML023
Student,3rd B.Sc AI & ML,A. Vaishnavi,vaishnavi.24aiml024@college.edu,24AIML024,Pass@24AIML024
Parent,3rd B.Sc AI & ML (Ward: 24AIML024),Mr. Venkatesan,venkatesan.24aiml024@gmail.com,Parent-24AIML024,Parent@24AIML024
Student,3rd B.Sc AI & ML,V. Balaji,balaji.24aiml025@college.edu,24AIML025,Pass@24AIML025
Parent,3rd B.Sc AI & ML (Ward: 24AIML025),Mr. Baskar,baskar.24aiml025@gmail.com,Parent-24AIML025,Parent@24AIML025
Student,3rd B.Sc AI & ML,P. Menaka,menaka.24aiml026@college.edu,24AIML026,Pass@24AIML026
Parent,3rd B.Sc AI & ML (Ward: 24AIML026),Mr. Murugesan,murugesan.24aiml026@gmail.com,Parent-24AIML026,Parent@24AIML026
Student,3rd B.Sc AI & ML,J. Rajesh,rajesh.24aiml027@college.edu,24AIML027,Pass@24AIML027
Parent,3rd B.Sc AI & ML (Ward: 24AIML027),Mr. Ramasamy,ramasamy.24aiml027@gmail.com,Parent-24AIML027,Parent@24AIML027
Student,3rd B.Sc AI & ML,C. Roshini,roshini.24aiml028@college.edu,24AIML028,Pass@24AIML028
Parent,3rd B.Sc AI & ML (Ward: 24AIML028),Mr. Ranganathan,ranganathan.24aiml028@gmail.com,Parent-24AIML028,Parent@24AIML028
Student,3rd B.Sc AI & ML,E. Suresh,suresh.24aiml029@college.edu,24AIML029,Pass@24AIML029
Parent,3rd B.Sc AI & ML (Ward: 24AIML029),Mr. Subbarayan,subbarayan.24aiml029@gmail.com,Parent-24AIML029,Parent@24AIML029
Student,3rd B.Sc AI & ML,D. Bhuvaneshwari,bhuvaneshwari.24aiml030@college.edu,24AIML030,Pass@24AIML030
Parent,3rd B.Sc AI & ML (Ward: 24AIML030),Mr. Boopalan,boopalan.24aiml030@gmail.com,Parent-24AIML030,Parent@24AIML030
Student,1st BCA,G. Vigneshwaran,vigneshwaran.26bca001@college.edu,26BCA001,Pass@26BCA001
Parent,1st BCA (Ward: 26BCA001),Mr. Elango,elango.26bca001@gmail.com,Parent-26BCA001,Parent@26BCA001
Student,1st BCA,T. Lavanya,lavanya.26bca002@college.edu,26BCA002,Pass@26BCA002
Parent,1st BCA (Ward: 26BCA002),Mr. Loganathan,loganathan.26bca002@gmail.com,Parent-26BCA002,Parent@26BCA002
Student,1st BCA,N. Ashwin Soundar,ashwin.26bca003@college.edu,26BCA003,Pass@26BCA003
Parent,1st BCA (Ward: 26BCA003),Mr. Soundararajan,soundararajan.26bca003@gmail.com,Parent-26BCA003,Parent@26BCA003
Student,1st BCA,B. Harini,harini.26bca004@college.edu,26BCA004,Pass@26BCA004
Parent,1st BCA (Ward: 26BCA004),Mr. Rajendran,rajendran.26bca004@gmail.com,Parent-26BCA004,Parent@26BCA004
Student,1st BCA,A. Siddharth,siddharth.26bca005@college.edu,26BCA005,Pass@26BCA005
Parent,1st BCA (Ward: 26BCA005),Mr. Kumaravel,kumaravel.26bca005@gmail.com,Parent-26BCA005,Parent@26BCA005
Student,1st BCA,V. Gayathri,gayathri.26bca006@college.edu,26BCA006,Pass@26BCA006
Parent,1st BCA (Ward: 26BCA006),Mr. Panneerselvam,panneerselvam.26bca006@gmail.com,Parent-26BCA006,Parent@26BCA006
Student,1st BCA,P. Ragav,ragav.26bca007@college.edu,26BCA007,Pass@26BCA007
Parent,1st BCA (Ward: 26BCA007),Mr. Vasudevan,vasudevan.26bca007@gmail.com,Parent-26BCA007,Parent@26BCA007
Student,1st BCA,J. Sandhya,sandhya.26bca008@college.edu,26BCA008,Pass@26BCA008
Parent,1st BCA (Ward: 26BCA008),Mr. Nagarajan,nagarajan.26bca008@gmail.com,Parent-26BCA008,Parent@26BCA008
Student,1st BCA,C. Mukesh,mukesh.26bca009@college.edu,26BCA009,Pass@26BCA009
Parent,1st BCA (Ward: 26BCA009),Mr. Thirumalai,thirumalai.26bca009@gmail.com,Parent-26BCA009,Parent@26BCA009
Student,1st BCA,E. Yamuna,yamuna.26bca010@college.edu,26BCA010,Pass@26BCA010
Parent,1st BCA (Ward: 26BCA010),Mr. Mohan,mohan.26bca010@gmail.com,Parent-26BCA010,Parent@26BCA010
Student,1st BCA,D. Aravind,aravind.26bca011@college.edu,26BCA011,Pass@26BCA011
Parent,1st BCA (Ward: 26BCA011),Mr. Govindaraj,govindaraj.26bca011@gmail.com,Parent-26BCA011,Parent@26BCA011
Student,1st BCA,L. Janani,janani.26bca012@college.edu,26BCA012,Pass@26BCA012
